Region;Comuna;Codigo_comuna;Fec;Fecha;Clave;Casos_Diarios;Casos_Acumulados;Muertes;Casos_Activos;Recuperados;Recuperados_Diarios;Dia;Fallecidos_Diarios;on-off;Max_Dia
Metropolitana;Renca;13128;1;43893;1312843893;0;0;0;0;0;0;0;0;OFF;52
O_Higgins;Rengo;6115;1;43893;611543893;0;0;0;0;0;0;0;0;OFF;40
O_Higgins;Requinoa;6116;1;43893;611643893;0;0;0;0;0;0;0;0;OFF;53
Maule;Retiro;7405;1;43893;740543893;0;0;0;0;0;0;0;0;OFF;27
Valparaiso;Rinconada;5303;1;43893;530343893;0;0;0;0;0;0;0;0;OFF;33
Los_Rios;Rio_Bueno;14204;1;43893;1420443893;0;0;0;0;0;0;0;0;OFF;35
Maule;Rio_Claro;7108;1;43893;710843893;0;0;0;0;0;0;0;0;OFF;52
Coquimbo;Rio_Hurtado;4305;1;43893;430543893;0;0;0;0;0;0;0;0;OFF;44
Aysen;Rio_IbaNez;11402;1;43893;1140243893;0;0;0;0;0;0;0;0;OFF;0
Los_Lagos;Rio_Negro;10305;1;43893;1030543893;0;0;0;0;0;0;0;0;OFF;43
Magallanes;Rio_Verde;12103;1;43893;1210343893;0;0;0;0;0;0;0;0;OFF;0
